meeting_id,theme,evidence_count,is_primary
01KQ03B0303900521BB089CA,Reliability / Incidents / Outages,9,True
01KQ03B0303900521BB089CA,Support / Customer Escalation,2,False
01KQ03B0303900521BB089CA,Internal Engineering / Planning / Execution,1,False
01KQ03B0303900521BB089CA,Customer Retention / Renewal / Commercial Risk,2,False
01KQ03B0303900521BB089CA,Product Feedback / Feature Gaps / Roadmap,1,False
01KQ03B0303900521BB089CA,Implementation / Onboarding / Adoption,1,False
01KQ0C1280EDA4E70AAD7C35,Customer Retention / Renewal / Commercial Risk,4,True
01KQ0C1280EDA4E70AAD7C35,Implementation / Onboarding / Adoption,2,False
01KQ0C1280EDA4E70AAD7C35,Identity / Access / Security Controls,4,False
01KQ0C1280EDA4E70AAD7C35,Reliability / Incidents / Outages,1,False
01KQ0C1280EDA4E70AAD7C35,Support / Customer Escalation,1,False
01KQ0C1280EDA4E70AAD7C35,Product Feedback / Feature Gaps / Roadmap,2,False
01KQ0CAE7F064EC93F0540CA,Reliability / Incidents / Outages,2,False
01KQ0CAE7F064EC93F0540CA,Implementation / Onboarding / Adoption,2,False
01KQ0CAE7F064EC93F0540CA,Internal Engineering / Planning / Execution,4,True
01KQ0CAE7F064EC93F0540CA,Product Feedback / Feature Gaps / Roadmap,3,False
01KQ0DFE299AC7A74E8022CA,Compliance / Audit / Security Assurance,6,True
01KQ0DFE299AC7A74E8022CA,Implementation / Onboarding / Adoption,1,False
01KQ0DFE299AC7A74E8022CA,Support / Customer Escalation,1,False
01KQ0F8AFF3DA34FD4580008,Customer Retention / Renewal / Commercial Risk,6,True
01KQ0F8AFF3DA34FD4580008,Reliability / Incidents / Outages,1,False
01KQ0F8AFF3DA34FD4580008,Compliance / Audit / Security Assurance,1,False
01KQ1267C6AA7D9B3125FEC8,Compliance / Audit / Security Assurance,4,True
01KQ1267C6AA7D9B3125FEC8,Identity / Access / Security Controls,2,False
01KQ1267C6AA7D9B3125FEC8,Reliability / Incidents / Outages,3,False
01KQ1267C6AA7D9B3125FEC8,Support / Customer Escalation,1,False
01KQ1267C6AA7D9B3125FEC8,Product Feedback / Feature Gaps / Roadmap,2,False
01KQ1267C6AA7D9B3125FEC8,Implementation / Onboarding / Adoption,1,False
01KQ1A6B7E81B06F4A13B60D,Customer Retention / Renewal / Commercial Risk,3,False
01KQ1A6B7E81B06F4A13B60D,Support / Customer Escalation,4,True
01KQ1A6B7E81B06F4A13B60D,Reliability / Incidents / Outages,1,False
01KQ1DC6CA536DE1B31ED8F5,Customer Retention / Renewal / Commercial Risk,6,True
01KQ1DC6CA536DE1B31ED8F5,Compliance / Audit / Security Assurance,2,False
01KQ1DC6CA536DE1B31ED8F5,Product Feedback / Feature Gaps / Roadmap,4,False
01KQ1DCC80852AE384C898C9,Reliability / Incidents / Outages,5,False
01KQ1DCC80852AE384C898C9,Customer Retention / Renewal / Commercial Risk,8,True
01KQ1DCC80852AE384C898C9,Compliance / Audit / Security Assurance,4,False
01KQ1DCC80852AE384C898C9,Identity / Access / Security Controls,1,False
01KQ1DCC80852AE384C898C9,Product Feedback / Feature Gaps / Roadmap,1,False
01KQ1DE954A807A5D2653175,Product Feedback / Feature Gaps / Roadmap,4,True
01KQ1DE954A807A5D2653175,Compliance / Audit / Security Assurance,3,False
01KQ1DE954A807A5D2653175,Reliability / Incidents / Outages,2,False
01KQ1DE954A807A5D2653175,Support / Customer Escalation,1,False
01KQ2217B066855A3B7814CB,Reliability / Incidents / Outages,7,True
01KQ2217B066855A3B7814CB,Customer Retention / Renewal / Commercial Risk,3,False
01KQ2217B066855A3B7814CB,Compliance / Audit / Security Assurance,3,False
01KQ2217B066855A3B7814CB,Support / Customer Escalation,1,False
01KQ2217B066855A3B7814CB,Implementation / Onboarding / Adoption,1,False
01KQ2331EFD78BF3B1CAB747,Reliability / Incidents / Outages,5,True
01KQ2331EFD78BF3B1CAB747,Product Feedback / Feature Gaps / Roadmap,1,False
01KQ2331EFD78BF3B1CAB747,Customer Retention / Renewal / Commercial Risk,3,False
01KQ2331EFD78BF3B1CAB747,Compliance / Audit / Security Assurance,1,False
01KQ2331EFD78BF3B1CAB747,Support / Customer Escalation,2,False
01KQ25D8AED944B5D2A9FF60,Product Feedback / Feature Gaps / Roadmap,4,True
01KQ25D8AED944B5D2A9FF60,Reliability / Incidents / Outages,1,False
01KQ25D8AED944B5D2A9FF60,Compliance / Audit / Security Assurance,1,False
01KQ25D8AED944B5D2A9FF60,Support / Customer Escalation,3,False
01KQ25D8AED944B5D2A9FF60,Customer Retention / Renewal / Commercial Risk,2,False
01KQ298F2846EFE59B0D70E2,Reliability / Incidents / Outages,5,True
01KQ298F2846EFE59B0D70E2,Customer Retention / Renewal / Commercial Risk,4,False
01KQ298F2846EFE59B0D70E2,Product Feedback / Feature Gaps / Roadmap,3,False
01KQ298F2846EFE59B0D70E2,Compliance / Audit / Security Assurance,1,False
01KQ2B4878EC7B3EE5547007,Compliance / Audit / Security Assurance,7,True
01KQ2B4878EC7B3EE5547007,Product Feedback / Feature Gaps / Roadmap,4,False
01KQ2B4878EC7B3EE5547007,Implementation / Onboarding / Adoption,2,False
01KQ2D93184912F0147315E7,Reliability / Incidents / Outages,11,True
01KQ2D93184912F0147315E7,Customer Retention / Renewal / Commercial Risk,3,False
01KQ2D93184912F0147315E7,Support / Customer Escalation,3,False
01KQ2D93184912F0147315E7,Product Feedback / Feature Gaps / Roadmap,2,False
01KQ2D93184912F0147315E7,Internal Engineering / Planning / Execution,1,False
01KQ31ED026F745FE2A55CCD,Product Feedback / Feature Gaps / Roadmap,3,False
01KQ31ED026F745FE2A55CCD,Internal Engineering / Planning / Execution,1,False
01KQ31ED026F745FE2A55CCD,Identity / Access / Security Controls,5,True
01KQ31ED026F745FE2A55CCD,Compliance / Audit / Security Assurance,1,False
01KQ31ED026F745FE2A55CCD,Implementation / Onboarding / Adoption,1,False
01KQ31ED026F745FE2A55CCD,Customer Retention / Renewal / Commercial Risk,3,False
01KQ31ED026F745FE2A55CCD,Reliability / Incidents / Outages,1,False
01KQ31ED026F745FE2A55CCD,Support / Customer Escalation,1,False
01KQ325BDEDEE927D2970775,Reliability / Incidents / Outages,8,True
01KQ325BDEDEE927D2970775,Product Feedback / Feature Gaps / Roadmap,2,False
01KQ325BDEDEE927D2970775,Customer Retention / Renewal / Commercial Risk,4,False
01KQ325BDEDEE927D2970775,Support / Customer Escalation,2,False
01KQ351E141926AB7CAB668D,Reliability / Incidents / Outages,8,True
01KQ351E141926AB7CAB668D,Compliance / Audit / Security Assurance,2,False
01KQ351E141926AB7CAB668D,Customer Retention / Renewal / Commercial Risk,6,False
01KQ38C4101D6774F2F02331,Reliability / Incidents / Outages,7,True
01KQ38C4101D6774F2F02331,Support / Customer Escalation,2,False
01KQ38C4101D6774F2F02331,Internal Engineering / Planning / Execution,2,False
01KQ38C4101D6774F2F02331,Customer Retention / Renewal / Commercial Risk,2,False
01KQ38FE02AEE5AA5157F042,Product Feedback / Feature Gaps / Roadmap,4,False
01KQ38FE02AEE5AA5157F042,Support / Customer Escalation,5,True
01KQ38FE02AEE5AA5157F042,Compliance / Audit / Security Assurance,3,False
01KQ38FE02AEE5AA5157F042,Reliability / Incidents / Outages,1,False
01KQ3BD8DEEBC7FECD107F0F,Compliance / Audit / Security Assurance,10,True
01KQ3BD8DEEBC7FECD107F0F,Implementation / Onboarding / Adoption,2,False
01KQ3BD8DEEBC7FECD107F0F,Support / Customer Escalation,2,False
01KQ3BD8DEEBC7FECD107F0F,Product Feedback / Feature Gaps / Roadmap,3,False
01KQ3C837D7EF689408DCF95,Implementation / Onboarding / Adoption,3,True
01KQ3C837D7EF689408DCF95,Reliability / Incidents / Outages,2,False
01KQ3C837D7EF689408DCF95,Support / Customer Escalation,1,False
01KQ3C837D7EF689408DCF95,Product Feedback / Feature Gaps / Roadmap,2,False
01KQ3CE40428CCC5FF433FFC,Reliability / Incidents / Outages,8,True
01KQ3CE40428CCC5FF433FFC,Support / Customer Escalation,3,False
