cluster_id,rank,term
0,1,renewal
0,2,competitive
0,3,pricing
0,4,outage
0,5,compliance
0,6,renewal renewal
0,7,comply
0,8,compliance compliance
0,9,sla
0,10,v2
0,11,comply v2
0,12,product
1,1,outage
1,2,incident
1,3,failure
1,4,communication
1,5,monitoring
1,6,risk
1,7,churn
1,8,churn risk
1,9,pipeline
1,10,incident response
1,11,reliability
1,12,churn_signal
2,1,billing
2,2,overage
2,3,dispute
2,4,billing dispute
2,5,charges
2,6,invoice
2,7,overage charges
2,8,alert
2,9,usage
2,10,dispute billing dispute
2,11,billing dispute billing
2,12,dispute billing
3,1,planning
3,2,sprint
3,3,launch
3,4,pdf
3,5,qa
3,6,bug
3,7,roadmap planning
3,8,v2
3,9,product launch
3,10,reporting
3,11,compliance reporting
3,12,action_item
4,1,hipaa
4,2,compliance
4,3,reporting
4,4,framework
4,5,multi framework
4,6,feature
4,7,multi
4,8,audit
4,9,product
4,10,soc
4,11,pci dss
4,12,dss
5,1,backup
5,2,performance
5,3,response time
5,4,support response
5,5,response
5,6,support response time
5,7,backup performance
5,8,agent
5,9,sync
5,10,support
5,11,time
5,12,time support
6,1,mfa
6,2,identity
6,3,management
6,4,sso
6,5,okta
6,6,scim
6,7,integration
6,8,access
6,9,policy
6,10,access management
6,11,mfa policy
6,12,sprint
7,1,backup
7,2,hybrid
7,3,recovery
7,4,onboarding
7,5,data
7,6,backup recovery
7,7,restore
7,8,cloudprime
7,9,aws
7,10,connector
7,11,policies
7,12,recovery backup recovery
