session_id,model_name,application_domain,task_type,prompt_length,total_tokens,temperature,top_p,rag_enabled,latency_sec,hallucination_flag,user_satisfaction,estimated_cost_usd,successful_response
1,GPT-4o,Healthcare,Summarization,1319,2455,0.17,0.87,0,3.76,0,4,0.0236,1
2,GPT-4o,Customer Support,Summarization,486,1425,0.76,0.51,0,2.36,1,5,0.0236,0
3,Gemma 3,Retail,Classification,1439,1648,0.63,0.64,0,3.68,1,4,0.0139,0
4,Gemma 3,Retail,Summarization,1662,2812,0.07,0.73,0,3.25,1,4,0.0374,0
5,Gemma 3,Finance,Classification,1452,1678,0.1,0.83,0,8.04,0,4,0.0171,0
6,Mistral Large,Education,Code Generation,737,1850,0.31,0.63,0,8.43,0,5,0.0091,0
7,GPT-4o,Finance,Translation,1419,1504,0.84,0.84,0,8.55,0,5,0.0139,0
8,Claude 3.7,Education,Code Generation,1804,2366,1.08,0.61,0,6.35,1,4,0.0365,0
9,Llama 3.1,Coding,Summarization,1207,1413,0.64,0.79,1,4.53,0,5,0.0247,1
10,Qwen 2.5,Healthcare,Code Generation,1632,2785,1.02,0.8,1,5.24,1,5,0.0061,0
11,Qwen 2.5,Coding,Classification,1822,2732,0.81,0.63,1,7.48,0,4,0.0056,0
12,Claude 3.7,Healthcare,Translation,2000,2333,0.75,0.59,0,9.82,1,4,0.0115,0
13,GPT-4o,Healthcare,Code Generation,673,811,0.73,0.56,0,3.87,1,4,0.0099,0
14,Claude 3.7,Customer Support,Translation,1005,1998,1.22,0.99,0,5.61,0,5,0.0099,0
15,Mistral Large,Retail,RAG,876,1713,1.45,0.96,1,7.19,0,5,0.0235,0
16,Llama 3.1,Healthcare,QA,257,291,0.37,0.53,0,0.69,0,4,0.0039,1
17,Claude 3.7,Retail,RAG,1770,2894,0.5,0.76,0,4.58,1,4,0.0545,0
18,Qwen 2.5,Healthcare,Code Generation,507,1252,1.18,0.9,1,2.32,0,5,0.013,1
19,Llama 3.1,Legal,Summarization,1348,1877,1.48,0.55,0,5.03,1,4,0.0219,0
20,Llama 3.1,Finance,RAG,580,1707,0.69,0.94,0,1.51,0,5,0.0332,1
21,Mistral Large,Education,RAG,1004,1028,0.72,0.93,1,8.49,0,5,0.007,0
22,Claude 3.7,Coding,Translation,1436,1844,1.44,1.0,0,6.33,1,4,0.0358,0
23,Claude 3.7,Healthcare,Code Generation,134,1194,1.12,0.53,0,4.92,0,4,0.0064,1
24,Claude 3.7,Education,Classification,1775,1962,0.35,0.56,0,9.36,0,4,0.0245,0
25,GPT-4o,Healthcare,RAG,428,1384,1.0,0.66,1,2.81,0,4,0.0215,1
26,Llama 3.1,Education,Classification,1282,1573,1.5,1.0,1,2.37,0,5,0.0281,1
27,GPT-4o,Healthcare,Code Generation,333,565,0.66,0.77,1,2.98,0,5,0.0025,1
28,GPT-4o,Healthcare,Code Generation,1143,1703,0.23,0.64,0,3.27,1,4,0.0111,0
29,Mistral Large,Retail,QA,877,1227,1.24,0.52,1,3.9,0,5,0.0146,1
30,Gemma 3,Education,QA,239,1390,0.11,0.94,1,7.55,0,4,0.006,0
31,Llama 3.1,Customer Support,Summarization,1850,2186,0.54,0.84,1,7.71,1,5,0.0137,0
32,Mistral Large,Customer Support,QA,1815,2381,0.62,0.59,0,9.68,1,3,0.0348,0
33,Mistral Large,Education,Classification,1768,2254,0.71,0.6,1,9.57,1,3,0.0313,0
34,Llama 3.1,Retail,Classification,1780,1856,0.1,0.89,1,5.16,1,4,0.0361,0
35,Llama 3.1,Education,QA,88,1155,0.16,0.72,1,5.99,1,4,0.021,0
36,Gemma 3,Retail,Classification,1461,2364,0.65,0.76,1,8.32,0,3,0.033,0
37,Llama 3.1,Finance,RAG,1368,2056,1.27,0.86,1,4.25,1,4,0.0151,0
38,Llama 3.1,Legal,Translation,1371,2513,1.41,0.84,1,8.96,1,4,0.0188,0
39,Qwen 2.5,Coding,Translation,1252,1619,0.98,0.73,1,5.21,0,5,0.0115,0
